slug,name,showBooking
crewcuts,"crewcuts",false
crown-barber,"Crown Barber",false
crown-barber-shop,"Crown Barber Shop",false
crown-barbers-club,"CROWN BARBERS CLUB",false
crown-cuts,"CROWN CUTS",false
culture-2-barbers,"Culture 2 Barbers",false
cut-above,"Cut Above",false
cut-above-barbers,"Cut Above Barbers",false
cut-and-fade-barber,"Cut and Fade barber",false
cut-fellaz-barber-club,"Cut Fellaz Barber Club",false
cuts-and-fades,"Cuts & Fades",false
cuts-crew,"Cuts Crew",false
cutting-crew,"Cutting Crew",false
cutting-crew-stockport,"Cutting Crew",false
cutting-it,"Cutting It",false
cutting-lounge-barbershop,"Cutting Lounge Barbershop",false
cutz,"Cutz",false
cutz-4-men,"Cutz 4 men",false
d1-barber,"D1 Barber",false
dads-and-lads,"Dads & Lads",false
dads-n-lads-family-barbers,"Dads N Lads Family Barbers",false
dana-barber-turkish-style,"Dana barber turkish style",false
danda-barber-shop,"D&A Barber Shop",false
dandb-studio-cuts,"D&B Studio cuts",false
dandm-barber,"D&M barber",false
dani-barber,"Dani Barber",false
dani-kutz,"Dani Kutz",false
daniels-barbers,"Daniel's Barbers",false
dannys-barber,"DANNY'S BARBER",false
dannys-cuts,"Danny's Cuts",false
dany-barber,"Dany Barber",false
danyals-barbers,"Danyal's Barbers",false
dapper-and-boss-barbers,"Dapper & Boss Barbers",false
dapper-doodles-dog-grooming,"Dapper Doodles Dog Grooming",false
dark-faders-barbershop,"Dark Faders Barbershop",false
darlo-barber-limited,"Darlo Barber Limited",false
darwins-barbers,"Darwin's Barbers",false
daryan-barber,"Daryan Barber",false
davenport-barbers,"Davenport barbers",false
davo-turkish-hair-style,"Davo turkish hair style",false
de-novo-barbershop,"De Novo Barbershop",false
de1-cutz,"DE1 CUTZ",false
deans-barber-shop-dean-winstanley-est-2008,"Deans Barber Shop [Dean Winstanley] est.2008",false
deluxe-barbers-walk-ins-only,"Deluxe Barbers walk ins only",false
demon-barbers-2,"Demon barber's 2",false
deniz-barber,"Deniz Barber",false
dennys,"Denny's",false
dexters-ilkley,"Dexters Ilkley",false
diamond-cutz,"Diamond Cutz",false
diamond-scissors,"Diamond Scissors",false
distinguished-barbers,"Distinguished Barbers",false
don-one-barbers,"Don One Barbers",false
dream-barbers,"Dream Barbers",false
dudley-turkish-barbers,"Dudley Turkish Barbers",false
duhok-barber,"Duhok barber",false
duke-hare,"Duke Hare",false
dy5-cuts,"DY5 CUTS",false
east-finchley-barbers,"East Finchley Barbers",false
east-leake-barber,"East Leake Barber",false
ebeneezers-barbers,"Ebeneezers barbers",false
ebo-barber,"EBo barber",false
edgely-barber,"Edgely barber",false
eds-barbers,"Ed’s Barbers",false
edwinstowe-barber-shop,"EDWINSTOWE BARBER SHOP",false
elms-barbers,"Elms Barbers",false
empire-cuts-barbershop-and-tanning,"Empire Cuts Barbershop and Tanning",false
enjoy-barbering-co,"Enjoy Barbering Co.",false
erols-barbers,"Erol's Barbers",false
et-duke-barbers,"ET Duke Barbers",false
evolution-modern-grooming,"Evolution • Modern • Grooming",false
excellent-cut-barbers-earlswood,"Excellent Cut Barbers Earlswood",false
exclusive-cutz,"Exclusive Cutz",false
f6-barbershop,"F6 Barbershop",false
fade-and-style-barber-shop,"Fade And Style Barber Shop",false
fade-barbers,"FADE BARBERS",false
fade-empire-kurdish-barber,"Fade Empire Kurdish Barber",false
fade-house,"Fade house",false
fade-master-barber,"Fade master barber",false
fade-n-blade,"Fade N Blade",false
fade-station,"Fade Station",false
fade-zone-barber,"Fade zone barber",false
fade-zone-barbers,"Fade Zone Barbers",false
fadeandblade,"Fade&blade",false
fadeaway-barbers,"Fadeaway barbers",false
faded,"FADED",false
faded-barber-shop,"FADED BARBER SHOP",false
faded-coventry,"Faded",false
fadekingdom,"Fadekingdom",false
fades-and-shades,"Fades & Shades",false
fades-barber-shop-and-sunbeds,"Fades barber shop and sunbeds",false
fades2reality,"Fades2Reality",false
fadez,"Fadez",false
fadez-barbers,"Fadez Barbers",false
fama-barber,"FAMA BARBER",false
faz-barbers,"Faz Barbers",false
fdz-barber-shop-skin-fade-beard-trims-afro-hair-classic-scissor-cut-kids-haircut-hot-towel-shave,"FDZ BARBER SHOP - SKIN FADE - BEARD TRIMS - AFRO HAIR - CLASSIC SCISSOR CUT - KIDS HAIRCUT - HOT TOWEL SHAVE",false
fellas-and-kings,"Fellas & Kings",false
fennel-street-barbers,"Fennel Street Barbers",false
fh-barbers-netherton-ltd,"Fh Barbers Netherton Ltd",false
fh3-barbers-limited,"Fh3 Barbers Limited",false
fh5-barbers,"Fh5 Barbers",false
figaro-unisex-salon,"Figaro Unisex Salon",false
figaros-gents-barbers,"Figaros Gents Barbers",false
five-star-barbers,"Five Star Barbers",false
fletcher-clarke-and-co-barber-shop,"Fletcher Clarke & Co Barber Shop",false
flex,"Flex",false
forever-barber-shop-hair-salon,"Forever Barber Shop hair salon",false
fresh-cut,"FRESH CUT",false
fresh-cuts,"Fresh Cuts",false
fresh-cuts-dudley,"Fresh cuts",false
fufus-cut,"Fufus Cut",false
g-2-barbers,"G 2 Barbers",false
g-barbers,"“G” Barbers",false
gabs-hair-room,"Gab’s hair room",false
gaffers-barbering,"Gaffers Barbering",false
